subject;native language;AOL (years);LearnType1;LearnType2;LearnType3;LearnType4;LearnType5;LearnType6;most effective;AOA;time spent in Germany
klvq;Spanisch;22;on;NA;NA;NA;NA;NA;Immersion und Deutschkurs;24;8 Jahre
pfem;Spanisch;33;on;NA;NA;NA;NA;NA;Deutschkurs;34;7 Jahre
o2oe;Spanisch;25;classeshome;NA;NA;NA;classesabroad;NA;Ich habe einen Deutschkurs in einem deutschsprachigen Land besucht;25;26
rxrx;Spanisch;24;classeshome;NA;NA;NA;classesabroad;NA;Deutschkurs in einem deutschsprachigen Land besucht;26;1 Jahr
jw5c;Katalanisch, Spanisch;21;classeshome;selflearn;NA;NA;classesabroad;immersion;Deutschkurs, Filmen, Bücher;28;6 Jahre
1fss;Spanisch;37;NA;selflearn;NA;NA;classesabroad;NA;die Schule;37;2 Jahre
91u3;Spanisch;5;classeshome;NA;lgeschool;NA;NA;NA;An der Schule;21;3
mmy8;Spanisch;9;NA;NA;NA;NA;NA;immersion;;9;3,5 Jahre
n6v7;Spanisch;30;NA;selflearn;NA;NA;classesabroad;NA;ein Deutschkurs besuchen;30;fast 9 Jahre
fnoe;Spanisch,  Englisch;24;classeshome;selflearn;lgeschool;NA;classesabroad;NA;Deutschkurs in einem deutschsprachigen Land;27;Ich wohne seit 2 Monaten in Deutschland
90gm;Spanisch;20;NA;NA;NA;uni;classesabroad;immersion;;20;34 Jahren
thm4;Spanisch;32;NA;NA;NA;NA;classesabroad;NA;;31;6.5 Jahre
hjmf;Spanisch;31;classeshome;NA;NA;NA;classesabroad;immersion;Deutschkurs in Deutschland;32;5
yuzx;Spanisch;5;classeshome;NA;lgeschool;NA;NA;NA;Es fehlt die Option die deutsche Schule besucht, das ist eigentlich meine wirkliche Option.;;
qlxa;Spanisch;31;classeshome;NA;NA;NA;classesabroad;immersion;Deutschkurs in Deutschland;31;fast fünf Jahre
psn7;Spanisch;22;NA;selflearn;NA;NA;classesabroad;immersion;Selbstlernen;22 J;5 J
hr37;Spanisch;22;classeshome;selflearn;NA;uni;classesabroad;NA;Deutschkurse am Lektorat der Universität;24;Ich wohne in DE seit 13 Jahre
e3x7;Spanisch;27;NA;selflearn;NA;NA;NA;immersion;Lernen durch Immersion;27;8
x2ft;Spanisch;29;NA;NA;NA;NA;classesabroad;NA;Deutschkurs und Immersion;29;35 Jahren 
;;;;;;;;;;;
Learntype1= classes in the home country;;;;;;;;;;;
Learntype2= self learning;;;;;;;;;;;
Learntype3= language school;;;;;;;;;;;
Learntype4= University degree in German;;;;;;;;;;;
Learntype5= Took classes abroad;;;;;;;;;;;
Learntype6= Immersion;;;;;;;;;;;
